video,prev_caption,curr_caption,human_transition
01,a woman is making flowers in a vase,a woman arranging flowers in a flower shop,
01,a woman arranging flowers in a flower shop,a woman is holding a flower in her hand,
01,a woman is holding a flower in her hand,a woman is arranging flowers in a vase,
01,a woman is putting a flower in a vase,a woman is sitting at a table with flowers,
01,a woman is sitting at a table with flowers,a woman is cutting flowers on a table,
01,a woman is cutting flowers on a table,a woman is cutting a piece of food,
01,a woman is cutting a piece of food,a woman is cutting a flower with scissors,
01,a woman is cutting a flower with scissors,a woman is making flowers in a vase,
02,a person holding an open book with a quote,a person holding an open book with a bookmark,
02,a person holding a book open to show the pages,a person holding a book with a bookmark,
03,a dog running down a dirt road with red flowers,a black cat walking down a dirt path,
03,a black cat walking down a dirt path,a person walking down a dirt road with a dog,
03,a person walking down a dirt road with a dog,a man walking down a dirt path with red flowers,
03,a man walking down a dirt path with red flowers,a man walking down a dirt path with a backpack,
03,a man walking down a dirt path with a backpack,a person walking down a dirt path with red flowers,
03,a person walking down a dirt path with red flowers,a man walking down a dirt path with a backpack,
03,a man walking down a dirt path with a backpack,a person walking down a dirt path with red flowers,
04,a horse running in a fenced area,a horse walking in a dirt field,
04,a horse is walking in a fenced area,a horse grazing in a field with trees in the background,
04,a horse grazing in a field with trees in the background,a woman riding a horse in a field,
05,a group of people standing around a table full of food,a group of people walking around a market,
05,a group of people walking around a market,people are shopping at a fish market in india,
05,people are shopping at a fish market in india,a group of people standing around a market,
05,a group of people standing around a market,a group of people standing around a table full of food,
05,a group of people standing around a table full of food,a woman in a market,
05,a woman in a market,people are shopping at a fish market in india,
05,people are shopping at a fish market in india,a group of people standing around a market,
06,a man is standing in a market with a bunch of vegetables,a bunch of tomatoes,
06,a bunch of tomatoes,a man is standing in front of a bunch of vegetables,
06,a man in a kitchen preparing vegetables for sale,a man in a kitchen,
06,a man in a kitchen,a woman is shopping for vegetables at a market,
06,a woman is shopping for vegetables at a market,a woman standing in a market with a bunch of tomatoes,
06,a woman standing in a market,a woman standing in a produce room,
06,a woman standing in a produce room,a woman standing in front of a table full of vegetables,
06,a woman standing in front of a table full of vegetables,a woman is shopping for vegetables,
06,a woman is shopping for vegetables,a woman in a black jacket,
06,a woman in a black jacket,a woman standing in front of a table full of vegetables,
09,people are skating on the ice in front of a large building,people are walking in the snow near a building,
10,a man kicking a soccer ball in a yard,a woman in a red shirt kicking a soccer ball,
10,a woman in a red shirt kicking a soccer ball,a man kicking a soccer ball in a field,
10,a man kicking a soccer ball in a field,a young boy kicking a soccer ball in a field,
10,a young boy kicking a soccer ball in a field,a man kicking a soccer ball in a field,
10,a man kicking a soccer ball in a field,a woman kicking a soccer ball in a field,
10,a woman kicking a soccer ball in a field,a man kicking a soccer ball in a field,
10,a man kicking a soccer ball in a field,a woman in a red shirt is kicking a soccer ball,
10,a woman in a red shirt is kicking a soccer ball,a man in a red shirt is playing frc,
